method,rank,feature
All-42,1,dur
All-42,2,proto
All-42,3,service
All-42,4,state
All-42,5,spkts
All-42,6,dpkts
All-42,7,sbytes
All-42,8,dbytes
All-42,9,rate
All-42,10,sttl
All-42,11,dttl
All-42,12,sload
All-42,13,dload
All-42,14,sloss
All-42,15,dloss
All-42,16,sinpkt
All-42,17,dinpkt
All-42,18,sjit
All-42,19,djit
All-42,20,swin
All-42,21,stcpb
All-42,22,dtcpb
All-42,23,dwin
All-42,24,tcprtt
All-42,25,synack
All-42,26,ackdat
All-42,27,smean
All-42,28,dmean
All-42,29,trans_depth
All-42,30,response_body_len
All-42,31,ct_srv_src
All-42,32,ct_state_ttl
All-42,33,ct_dst_ltm
All-42,34,ct_src_dport_ltm
All-42,35,ct_dst_sport_ltm
All-42,36,ct_dst_src_ltm
All-42,37,is_ftp_login
All-42,38,ct_ftp_cmd
All-42,39,ct_flw_http_mthd
All-42,40,ct_src_ltm
All-42,41,ct_srv_dst
All-42,42,is_sm_ips_ports
QAOA-4,1,sttl
QAOA-4,2,ct_state_ttl
QAOA-4,3,dload
QAOA-4,4,rate
MI-4,1,dttl
MI-4,2,dbytes
MI-4,3,sttl
MI-4,4,sbytes
ANOVA-4,1,ct_dst_sport_ltm
ANOVA-4,2,dload
ANOVA-4,3,ct_state_ttl
ANOVA-4,4,sttl
L1-4,1,dload
L1-4,2,swin
L1-4,3,proto
L1-4,4,dttl
RF-4,1,rate
RF-4,2,sload
RF-4,3,ct_state_ttl
RF-4,4,sttl
