feature,perturbation_level,mean_delta_f1,std_delta_f1,mean_delta_balanced_accuracy,mean_delta_roc_auc
ct_dst_sport_ltm,0.05,-0.0010882043839961497,0.00014623889806134445,-0.00169060527851909,-0.0017663418464292462
ct_dst_sport_ltm,0.1,-0.004947465971294436,0.00028767174426140514,-0.007169087343426879,-0.0075791909371466515
ct_dst_sport_ltm,0.2,-0.007565006708529405,0.00048015098725484747,-0.0112319263185127,-0.013443949465723692
ct_state_ttl,0.05,0.0,0.0,0.0,2.2444472206710012e-10
ct_state_ttl,0.1,0.0,0.0,0.0,2.2444472206710012e-10
ct_state_ttl,0.2,4.5310452854607774e-05,4.4661778438298974e-05,2.76808413675426e-05,-0.00021499923350535669
dload,0.05,0.005450980603055118,0.001288805899253779,-0.012985020327450672,-0.005016719140884566
dload,0.1,0.005356157893609659,0.0013919922002279355,-0.01348981858286761,-0.00557199428530845
dload,0.2,0.005328019109666626,0.0012067440172047453,-0.013631772176141236,-0.005592667834589227
dmean,0.05,0.0007064261547259735,0.0008686248931070114,-0.012936143213883033,-0.0038044812183084162
dmean,0.1,0.0021463044916173826,0.00024507365767757755,-0.013665730668968997,-0.0065309710414656426
dmean,0.2,0.0030899062569246607,0.000511747560039324,-0.015154517954059829,-0.009610066034463497
dwin,0.05,-0.0003325138957856281,0.0002880358305230184,-2.9177816977347486e-08,0.0004056950781675672
dwin,0.1,-0.0006613573667730854,0.000580786653636893,-0.00018795945691156094,0.00014568632465261633
dwin,0.2,-0.000880814266932132,0.0007633303040091306,-0.00026640828228404373,-0.00024272739425893844
rate,0.05,-0.0007874853993193135,0.004618263666285646,-0.017803141181227573,-0.0067840006260519265
rate,0.1,-0.0025960029855905953,0.0035610768223169045,-0.01875120221711357,-0.007886961365384212
rate,0.2,-0.004117570561304462,0.0027466622360503437,-0.01869865937941499,-0.007880480202157406
sttl,0.05,-0.0013090793045908617,0.0005351508024119189,-0.0006395988207708037,-0.0076738824200475175
sttl,0.1,-0.0050360799871507584,0.0004696885087245721,-0.004110990412740545,-0.009588709681307503
sttl,0.2,-0.0168434174258774,0.00040073631544264066,-0.017064819512101443,-0.015290288545702913
swin,0.05,-0.0033790034694219187,0.0029710672133411737,-0.0024787740967245155,-0.0041649483146358746
swin,0.1,-0.00802774930401203,0.007102775256354164,-0.0057087487873301495,-0.00957621548149934
swin,0.2,-0.013520638442757416,0.010806278629122154,-0.009623095556292038,-0.013970910570802722
