feature_a,feature_b,perturbation_level,positive_f1,negative_f1,positive_degradation,negative_degradation,mean_f1_degradation,worst_f1_degradation
sbytes,sttl,0.1,0.969832494771932,0.969349293791161,0.0005991778555319849,0.0010823788363030218,0.0008407783459175033,0.0010823788363030218
sbytes,dbytes,0.1,0.9697145101606268,0.9689173818633027,0.0007171624668371734,0.001514290764161319,0.0011157266154992462,0.001514290764161319
sbytes,ct_state_ttl,0.1,0.9698086639609045,0.9691097308488613,0.0006230086665595103,0.0013219417786026755,0.0009724752225810929,0.0013219417786026755
sbytes,dttl,0.1,0.9698488299855043,0.9691498612778997,0.0005828426419597355,0.001281811349564288,0.0009323269957620117,0.001281811349564288
sbytes,rate,0.1,0.9701118993939645,0.9693698165498128,0.0003197732334995207,0.001061856077651191,0.0006908146555753558,0.001061856077651191
sbytes,sload,0.1,0.9695340131129909,0.9687616368074806,0.0008976595144730704,0.0016700358199833731,0.0012838476672282217,0.0016700358199833731
sbytes,dur,0.1,0.9697458819634136,0.9693274358232401,0.0006857906640503897,0.0011042368042238904,0.00089501373413714,0.0011042368042238904
sttl,dbytes,0.1,0.9702768898667442,0.9702785220262945,0.00015478276071978492,0.00015315060116949386,0.0001539666809446394,0.00015478276071978492
sttl,ct_state_ttl,0.1,0.9705209762587834,0.9705374779083065,0.0,0.0,0.0,0.0
sttl,dttl,0.1,0.9705411529905823,0.9705576579199069,0.0,0.0,0.0,0.0
sttl,rate,0.1,0.9710831359840458,0.9711792207792208,0.0,0.0,0.0,0.0
sttl,sload,0.1,0.9707910919062656,0.9707330245310845,0.0,0.0,0.0,0.0
sttl,dur,0.1,0.9708419061870025,0.971046400531716,0.0,0.0,0.0,0.0
dbytes,ct_state_ttl,0.1,0.9701272549874406,0.970054408771857,0.0003044176400234244,0.0003772638556069907,0.00034084074781520757,0.0003772638556069907
dbytes,dttl,0.1,0.9701675351367062,0.9700947001162984,0.0002641374907578209,0.0003369725111656008,0.00030055500096171084,0.0003369725111656008
dbytes,rate,0.1,0.9708584821521167,0.9709032043831978,0.0,0.0,0.0,0.0
dbytes,sload,0.1,0.9707541690865344,0.9703471602581395,0.0,8.451236932449646e-05,4.225618466224823e-05,8.451236932449646e-05
dbytes,dur,0.1,0.9702653912393916,0.9706461985271237,0.0001662813880723979,0.0,8.314069403619895e-05,0.0001662813880723979
ct_state_ttl,dttl,0.1,0.9703913170042001,0.9703913170042001,4.035562326387687e-05,4.035562326387687e-05,4.035562326387687e-05,4.035562326387687e-05
ct_state_ttl,rate,0.1,0.9710593563667338,0.9710961038961039,0.0,0.0,0.0,0.0
ct_state_ttl,sload,0.1,0.9707660661970953,0.9705821249013171,0.0,0.0,0.0,0.0
ct_state_ttl,dur,0.1,0.9707765214499501,0.970962113659023,0.0,0.0,0.0,0.0
dttl,rate,0.1,0.9710997070495108,0.971136462814039,0.0,0.0,0.0,0.0
dttl,sload,0.1,0.9708265802269044,0.9706224549156486,0.0,0.0,0.0,0.0
dttl,dur,0.1,0.9708168779879442,0.9710024510822152,0.0,0.0,0.0,0.0
rate,sload,0.1,0.9712790480343904,0.970673755919249,0.0,0.0,0.0,0.0
rate,dur,0.1,0.9708233828262901,0.9709801967866484,0.0,0.0,0.0,0.0
sload,dur,0.1,0.9709064479285641,0.9710015568240788,0.0,0.0,0.0,0.0
