outer_fold,inner_fold,gamma,selected,f1
1,1,0.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9512293275587835
1,1,0.1,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9512293275587835
1,1,0.25,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9512293275587835
1,1,0.5,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9512293275587835
1,1,1.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9512293275587835
1,1,2.0,"['sttl', 'dbytes', 'dttl', 'dur']",0.9416941694169417
1,2,0.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9507556916013009
1,2,0.1,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9507556916013009
1,2,0.25,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9507556916013009
1,2,0.5,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9507556916013009
1,2,1.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9507556916013009
1,2,2.0,"['sttl', 'dbytes', 'dttl', 'dur']",0.9405801709465652
1,3,0.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9515094664701266
1,3,0.1,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9515094664701266
1,3,0.25,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9515094664701266
1,3,0.5,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9515094664701266
1,3,1.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9515094664701266
1,3,2.0,"['sttl', 'dbytes', 'dttl', 'dur']",0.9389955053246051
2,1,0.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9487539150318006
2,1,0.1,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9487539150318006
2,1,0.25,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9487539150318006
2,1,0.5,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9487539150318006
2,1,1.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9487539150318006
2,1,2.0,"['sttl', 'dbytes', 'dttl', 'dur']",0.9418617676711101
2,2,0.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9492799478417611
2,2,0.1,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9492799478417611
2,2,0.25,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9492799478417611
2,2,0.5,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9492799478417611
2,2,1.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9492799478417611
2,2,2.0,"['sttl', 'dbytes', 'dttl', 'dur']",0.9383994318394199
2,3,0.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9494496222145514
2,3,0.1,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9494496222145514
2,3,0.25,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9494496222145514
2,3,0.5,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9494496222145514
2,3,1.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9494496222145514
2,3,2.0,"['sttl', 'dbytes', 'dttl', 'dur']",0.9404386374241718
3,1,0.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9507249703508168
3,1,0.1,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9507249703508168
3,1,0.25,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9507249703508168
3,1,0.5,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9507249703508168
3,1,1.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9507249703508168
3,1,2.0,"['sttl', 'dbytes', 'dttl', 'dur']",0.9407138197744851
3,2,0.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9500287411381491
3,2,0.1,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9500287411381491
3,2,0.25,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9500287411381491
3,2,0.5,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9500287411381491
3,2,1.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9500287411381491
3,2,2.0,"['sttl', 'dbytes', 'dttl', 'dur']",0.9397049750406641
3,3,0.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9498143398537687
3,3,0.1,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9498143398537687
3,3,0.25,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9498143398537687
3,3,0.5,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9498143398537687
3,3,1.0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9498143398537687
3,3,2.0,"['sttl', 'dbytes', 'dttl', 'dur']",0.9424693194496095
