feature,perturbation_level,mean_f1_degradation,worst_f1_degradation,mean_delta_f1,mean_delta_balanced_accuracy,mean_delta_roc_auc
ct_dst_sport_ltm,0.05,0.01301942450686124,0.02236368381665166,-0.01301942450686124,-0.01881194013480066,-0.019916637792219898
ct_dst_sport_ltm,0.1,0.01301942450686124,0.02236368381665166,-0.01301942450686124,-0.01881194013480066,-0.019916633639877186
ct_dst_sport_ltm,0.2,0.01301942450686124,0.02236368381665166,-0.01301942450686124,-0.01881194013480066,-0.019916637792219898
ct_state_ttl,0.05,0.02479556777207949,0.07578199251732798,-0.02425895599900781,-0.02505249150896192,-0.04289728323924082
ct_state_ttl,0.1,0.02479556777207949,0.07578199251732798,-0.02425895599900781,-0.02505249150896192,-0.04289728312701844
ct_state_ttl,0.2,0.02479556777207949,0.07578199251732798,-0.02425895599900781,-0.02505249150896192,-0.04289728323924082
dload,0.05,4.3403162425015296e-05,0.0002604189745500918,0.002923600720795024,-0.0002186391500046958,0.007056478821477992
dload,0.1,0.0013600450908527277,0.0031967547756963643,0.0016698940012474146,-0.002861435687927997,0.004998334677749701
dload,0.2,0.0025334677317724688,0.0063301465593411654,0.0009145400566482239,-0.005216906752992745,0.003755881947267984
dmean,0.05,0.0,0.0,0.0055786461143175385,-0.008890684869053015,-0.0016980834708409571
dmean,0.1,0.0,0.0,0.004364247763119999,-0.01243893347704006,-0.0036486392397332055
dmean,0.2,0.00928318722777527,0.029554281046174413,-0.0064967558332640896,-0.01739057864020388,-0.005169578043369445
dwin,0.05,0.0009390184136989591,0.00294398578137256,-0.0009390184136989591,-0.00017352687419240156,0.0016346849512643424
dwin,0.1,0.0009390184136989591,0.00294398578137256,-0.0009390184136989591,-0.00017352687419240156,0.0016346848390419815
dwin,0.2,0.0009390184136989591,0.00294398578137256,-0.0009390184136989591,-0.00017352687419240156,0.0016346848390419815
rate,0.05,0.00015361112837547486,0.0009216667702528492,0.0027206421036116146,-0.00135128939383015,0.005215421931264748
rate,0.1,0.0006118464260994605,0.0029599433238900463,0.0007169906796310466,-0.004279347421047223,0.0030225985474933528
rate,0.2,0.002408730096165712,0.00954821752972912,-0.00015993549131330478,-0.008801822715495991,0.00032634785117994597
sttl,0.05,0.04404887029581287,0.06931046797301255,-0.04404887029581287,-0.052575808852802365,-0.02691632692292008
sttl,0.1,0.038621215819611865,0.05804092406468375,-0.038621215819611865,-0.058645780218388475,-0.06307024562514633
sttl,0.2,0.09564083806490868,0.13581596864949652,-0.09564083806490868,-0.19436420312167157,-0.08891427929610198
swin,0.05,1.3794928982883517e-05,8.276957389730111e-05,-1.3794928982883517e-05,1.7957936343330576e-05,0.000442543646787974
swin,0.1,1.3794928982883517e-05,8.276957389730111e-05,-1.3794928982883517e-05,1.7957936343330576e-05,0.000442543759010335
swin,0.2,0.0002756477750013679,0.0007973449016478451,-0.0002756477750013679,3.576527661136586e-05,0.001971005414882191
